Date,5115_Qm,5115_Qs,5105_Qm,5105_Qs,5094_Qm,5094_Qs,5765_Qm,5765_Qs,5092_Qm,5092_Qs,5135_Qm,5135_Qs,5132_Qm,5132_Qs,5151_Qm,5151_Qs,5085_Qm,5085_Qs,5122_Qm,5122_Qs,5171_Qm,5171_Qs,5736_Qm,5736_Qs,5211_Qm,5211_Qs,5208_Qm,5208_Qs,5239_Qm,5239_Qs,5238_Qm,5238_Qs
20080101,453.100,204.844,20.000,21.458,18.200,6.053,2.590,3.920,5.310,1.341,2.840,1.591,3.180,1.337,2.070,1.812,2.570,.243,.440,.358,.320,.246,.450,1.394,1.460,4.358,.610,.262,.290,1.764,.240,.658
20080102,453.100,202.882,19.900,21.167,17.700,5.996,2.600,3.878,5.280,1.340,2.830,1.589,3.130,1.337,2.030,1.791,2.560,.243,.440,.358,.310,.246,.450,1.376,1.430,4.326,.600,.263,.280,1.733,.230,.647
20080103,453.100,200.987,19.700,20.888,17.100,5.942,2.610,3.838,5.260,1.340,2.810,1.587,3.070,1.337,1.980,1.770,2.550,.243,.440,.358,.300,.246,.450,1.358,1.410,4.295,.590,.263,.270,1.703,.230,.636
20080104,453.100,199.156,19.500,20.622,16.600,5.891,2.620,3.799,5.230,1.339,2.800,1.585,3.020,1.337,1.940,1.750,2.550,.243,.450,.358,.290,.246,.450,1.340,1.380,4.265,.580,.264,.260,1.675,.230,.626
20080105,453.100,197.389,19.400,20.368,16.000,5.841,2.630,3.763,5.210,1.339,2.780,1.584,2.960,1.337,1.900,1.731,2.540,.243,.450,.358,.280,.246,.450,1.323,1.360,4.236,.580,.265,.250,1.648,.230,.617
20080106,453.100,195.682,19.200,20.125,15.500,5.794,2.640,3.727,5.180,1.339,2.760,1.582,2.910,1.336,1.860,1.713,2.530,.243,.450,.359,.270,.246,.450,1.306,1.330,4.206,.570,.265,.240,1.622,.220,.607
20080107,453.100,194.033,19.000,19.893,14.900,5.749,2.650,3.693,5.160,1.338,2.750,1.581,2.850,1.336,1.820,1.696,2.520,.243,.450,.359,.260,.246,.450,1.289,1.310,4.177,.560,.266,.230,1.598,.220,.598
20080108,449.300,192.437,18.800,19.670,14.400,5.705,2.650,3.660,5.130,1.338,2.730,1.579,2.790,1.336,1.770,1.679,2.510,.243,.450,.359,.250,.245,.440,1.273,1.280,4.149,.550,.266,.210,1.574,.220,.589
20080109,445.600,190.891,18.700,19.456,13.800,5.662,2.660,3.629,5.110,1.338,2.720,1.578,2.740,1.336,1.730,1.662,2.500,.243,.450,.359,.240,.245,.440,1.257,1.260,4.120,.540,.266,.200,1.551,.210,.581
20080110,445.600,189.391,18.500,19.248,13.300,5.621,2.670,3.598,5.080,1.338,2.700,1.577,2.680,1.336,1.690,1.646,2.500,.243,.450,.359,.230,.245,.440,1.241,1.230,4.092,.530,.267,.190,1.528,.210,.572
20080111,445.600,187.932,18.000,19.047,12.700,5.581,2.680,3.568,5.060,1.337,2.680,1.576,2.630,1.336,1.650,1.631,2.490,.243,.450,.359,.220,.245,.440,1.226,1.160,4.064,.490,.267,.180,1.506,.210,.564
20080112,445.600,186.512,17.400,18.853,12.200,5.543,2.690,3.539,5.030,1.337,2.670,1.575,2.570,1.336,1.610,1.616,2.480,.243,.460,.359,.210,.245,.440,1.211,1.080,4.036,.450,.268,.170,1.486,.200,.557
20080113,449.300,185.130,16.900,18.663,11.600,5.506,2.700,3.510,5.010,1.337,2.650,1.574,2.520,1.336,1.560,1.602,2.470,.243,.460,.359,.200,.245,.440,1.196,1.010,4.009,.410,.268,.160,1.465,.200,.549
20080114,449.300,183.784,16.300,18.480,11.100,5.470,2.710,3.483,4.980,1.337,2.640,1.573,2.470,1.336,1.520,1.588,2.450,.243,.460,.359,.190,.245,.440,1.181,.940,3.982,.370,.268,.150,1.446,.190,.542
20080115,449.300,182.474,15.800,18.301,10.500,5.435,2.720,3.456,4.960,1.337,2.620,1.572,2.420,1.336,1.480,1.575,2.430,.243,.460,.359,.190,.245,.430,1.167,.870,3.955,.330,.269,.140,1.427,.190,.535
20080116,449.300,181.199,15.300,18.128,10.200,5.401,2.660,3.430,4.900,1.337,2.580,1.571,2.370,1.336,1.440,1.562,2.410,.243,.450,.359,.180,.245,.430,1.153,.790,3.929,.290,.269,.130,1.409,.190,.528
20080117,449.300,179.958,14.700,17.959,9.980,5.369,2.600,3.404,4.850,1.336,2.540,1.571,2.320,1.336,1.410,1.549,2.390,.243,.450,.359,.170,.245,.420,1.139,.720,3.902,.250,.269,.120,1.391,.180,.522
20080118,449.300,178.750,14.200,17.795,9.710,5.337,2.540,3.380,4.790,1.336,2.490,1.570,2.270,1.336,1.370,1.537,2.370,.243,.440,.359,.170,.245,.410,1.125,.650,3.876,.220,.269,.100,1.374,.180,.516
20080119,449.300,177.573,13.600,17.635,9.450,5.307,2.480,3.356,4.740,1.336,2.450,1.569,2.220,1.336,1.340,1.526,2.350,.243,.440,.359,.160,.245,.410,1.112,.570,3.851,.180,.270,.094,1.357,.170,.510
20080120,449.300,176.424,13.100,17.479,9.190,5.277,2.420,3.332,4.680,1.336,2.410,1.569,2.160,1.336,1.300,1.515,2.330,.243,.430,.359,.150,.245,.400,1.099,.500,3.825,.140,.270,.083,1.341,.170,.504
20080121,449.300,175.303,12.700,17.328,8.920,5.248,2.360,3.309,4.620,1.336,2.370,1.568,2.110,1.335,1.260,1.504,2.310,.243,.430,.359,.140,.244,.390,1.086,.500,3.800,.097,.270,.083,1.326,.170,.498
20080122,445.600,174.206,12.300,17.180,8.670,5.220,2.300,3.287,4.570,1.336,2.320,1.568,2.060,1.335,1.230,1.493,2.290,.243,.420,.359,.140,.244,.390,1.074,.510,3.775,.058,.270,.083,1.311,.170,.493
20080123,445.600,173.131,11.900,17.037,8.410,5.193,2.240,3.265,4.510,1.336,2.280,1.567,2.010,1.335,1.190,1.483,2.270,.243,.420,.359,.130,.244,.380,1.061,.510,3.751,.055,.270,.083,1.297,.170,.487
20080124,445.600,172.077,11.500,16.897,8.140,5.167,2.180,3.244,4.450,1.336,2.240,1.567,1.960,1.335,1.150,1.473,2.250,.243,.410,.359,.130,.244,.380,1.049,.510,3.726,.052,.270,.083,1.283,.170,.482
20080125,445.600,171.042,11.100,16.761,7.880,5.142,2.120,3.224,4.400,1.336,2.200,1.566,1.910,1.335,1.120,1.464,2.230,.243,.400,.359,.120,.244,.370,1.037,.510,3.702,.050,.271,.083,1.269,.170,.477
20080126,445.600,170.026,10.700,16.629,7.620,5.117,2.060,3.204,4.340,1.336,2.150,1.566,1.860,1.335,1.080,1.455,2.210,.243,.400,.359,.120,.244,.360,1.026,.520,3.679,.047,.271,.082,1.256,.180,.472
20080127,445.600,169.028,10.300,16.499,7.360,5.093,2.000,3.184,4.290,1.336,2.110,1.565,1.810,1.335,1.050,1.446,2.190,.243,.390,.359,.110,.244,.360,1.014,.520,3.655,.044,.271,.082,1.244,.180,.468
20080128,445.600,168.046,9.860,16.374,7.100,5.070,1.940,3.165,4.230,1.336,2.070,1.565,1.780,1.335,1.010,1.438,2.170,.243,.390,.359,.110,.244,.350,1.003,.520,3.632,.041,.271,.082,1.231,.180,.463
20080129,442.000,167.079,9.450,16.251,6.830,5.047,1.880,3.147,4.170,1.335,2.030,1.565,1.750,1.335,.970,1.429,2.150,.243,.380,.359,.100,.244,.340,.992,.520,3.609,.039,.271,.082,1.220,.180,.459
20080130,442.000,166.125,9.050,16.132,6.570,5.025,1.820,3.129,4.120,1.335,1.980,1.564,1.720,1.335,.940,1.422,2.130,.243,.380,.359,.098,.244,.330,.981,.530,3.586,.036,.271,.082,1.208,.180,.455
20080131,442.000,165.182,8.640,16.015,6.310,5.004,1.760,3.111,4.060,1.335,1.940,1.564,1.690,1.335,.900,1.414,2.110,.243,.370,.359,.093,.244,.330,.970,.530,3.564,.033,.271,.082,1.197,.180,.451
20080201,442.000,164.250,8.510,15.902,6.400,4.984,1.830,3.094,3.990,1.335,1.930,1.564,1.660,1.335,.900,1.406,2.080,.243,.370,.359,.090,.244,.320,.960,.520,3.542,.047,.271,.082,1.187,.170,.447
20080202,438.300,163.330,8.370,15.791,6.500,4.963,1.890,3.078,3.910,1.335,1.930,1.564,1.630,1.335,.900,1.399,2.060,.243,.370,.359,.088,.244,.320,.950,.520,3.520,.060,.272,.082,1.176,.160,.443
20080203,438.300,162.422,8.240,15.683,6.590,4.944,1.960,3.061,3.840,1.335,1.920,1.563,1.600,1.335,.910,1.392,2.030,.243,.370,.359,.085,.244,.310,.940,.510,3.498,.074,.272,.082,1.166,.140,.440
20080204,434.700,161.527,8.110,15.578,6.680,4.925,2.020,3.046,3.760,1.335,1.910,1.563,1.570,1.335,.910,1.386,2.010,.243,.370,.359,.083,.244,.300,.930,.500,3.477,.088,.272,.082,1.157,.130,.436
20080205,434.700,160.645,7.980,15.476,6.770,4.907,2.090,3.030,3.690,1.335,1.900,1.563,1.540,1.335,.910,1.379,1.980,.243,.370,.359,.080,.244,.290,.920,.500,3.456,.100,.272,.081,1.147,.120,.433
20080206,434.700,159.777,7.840,15.376,6.870,4.889,2.150,3.015,3.610,1.335,1.900,1.563,1.500,1.335,.910,1.373,1.960,.243,.370,.359,.078,.244,.290,.910,.490,3.435,.120,.272,.081,1.138,.110,.429
20080207,434.700,158.923,7.710,15.278,6.960,4.872,2.220,3.001,3.540,1.335,1.890,1.563,1.470,1.335,.910,1.367,1.930,.243,.370,.359,.075,.244,.280,.901,.480,3.414,.130,.272,.081,1.130,.098,.426
20080208,431.100,158.083,7.580,15.183,7.050,4.855,2.280,2.986,3.460,1.335,1.880,1.562,1.440,1.335,.920,1.361,1.900,.243,.380,.359,.073,.244,.270,.892,.470,3.394,.140,.272,.081,1.121,.086,.423
20080209,431.100,157.256,7.440,15.090,7.150,4.838,2.350,2.972,3.390,1.335,1.870,1.562,1.410,1.335,.920,1.356,1.880,.243,.380,.359,.070,.244,.260,.883,.470,3.374,.160,.272,.081,1.113,.075,.420
20080210,431.100,156.442,7.310,15.000,7.240,4.823,2.410,2.959,3.310,1.335,1.870,1.562,1.380,1.335,.920,1.350,1.850,.243,.380,.359,.068,.244,.260,.874,.460,3.354,.170,.272,.081,1.105,.063,.417
20080211,431.100,155.640,7.240,14.912,7.330,4.807,2.480,2.946,3.240,1.335,1.860,1.562,1.350,1.335,.920,1.345,1.830,.243,.380,.359,.066,.244,.250,.866,.450,3.334,.180,.272,.081,1.098,.064,.415
20080212,431.100,154.849,7.180,14.825,7.420,4.792,2.540,2.933,3.160,1.335,1.850,1.562,1.320,1.335,.930,1.340,1.800,.243,.380,.359,.064,.244,.240,.857,.430,3.315,.200,.272,.081,1.091,.064,.412
20080213,431.100,154.069,7.110,14.741,7.520,4.778,2.610,2.920,3.090,1.335,1.840,1.562,1.290,1.335,.930,1.335,1.780,.243,.380,.359,.062,.244,.230,.849,.420,3.295,.210,.272,.081,1.083,.065,.409
20080214,434.700,153.299,7.050,14.660,7.610,4.763,2.680,2.908,3.010,1.335,1.840,1.562,1.260,1.335,.930,1.330,1.750,.243,.380,.359,.060,.244,.230,.841,.400,3.276,.220,.272,.081,1.077,.065,.407
20080215,434.700,152.539,6.980,14.580,7.540,4.750,2.740,2.896,2.950,1.335,1.830,1.562,1.250,1.335,.930,1.326,1.740,.243,.380,.359,.057,.244,.220,.832,.390,3.258,.240,.272,.080,1.070,.066,.405
20080216,434.700,151.789,6.910,14.502,7.460,4.736,2.680,2.884,2.890,1.335,1.770,1.561,1.230,1.335,.920,1.321,1.730,.243,.370,.359,.055,.244,.210,.825,.370,3.239,.250,.272,.080,1.064,.066,.402
20080217,434.700,151.051,6.850,14.425,7.390,4.723,2.630,2.873,2.820,1.335,1.710,1.561,1.220,1.335,.920,1.317,1.720,.243,.370,.359,.053,.244,.210,.817,.360,3.221,.270,.272,.080,1.057,.067,.400
20080218,434.700,150.324,6.780,14.351,7.310,4.710,2.570,2.862,2.760,1.335,1.640,1.561,1.210,1.335,.920,1.313,1.710,.243,.360,.359,.051,.244,.200,.809,.340,3.203,.280,.272,.080,1.051,.067,.398
20080219,434.700,149.609,6.720,14.279,7.240,4.698,2.510,2.851,2.700,1.335,1.580,1.561,1.200,1.335,.910,1.309,1.700,.243,.350,.359,.049,.244,.190,.802,.330,3.185,.290,.272,.080,1.046,.068,.396
20080220,434.700,148.906,6.650,14.208,7.160,4.686,2.450,2.841,2.640,1.335,1.520,1.561,1.180,1.335,.910,1.305,1.690,.243,.350,.359,.053,.244,.190,.794,.310,3.167,.310,.272,.084,1.040,.068,.394
20080221,434.700,148.212,6.610,14.139,7.090,4.674,2.400,2.830,2.570,1.335,1.460,1.561,1.170,1.335,.910,1.301,1.680,.243,.340,.359,.056,.244,.180,.787,.320,3.150,.320,.272,.087,1.035,.071,.392
20080222,434.700,147.529,6.580,14.071,7.010,4.663,2.340,2.820,2.510,1.335,1.400,1.561,1.160,1.335,.900,1.298,1.670,.243,.340,.359,.060,.244,.180,.780,.320,3.133,.320,.272,.091,1.030,.074,.390
20080223,434.700,146.854,6.540,14.006,6.940,4.652,2.280,2.811,2.450,1.335,1.330,1.561,1.150,1.335,.900,1.294,1.660,.243,.330,.359,.063,.244,.170,.773,.330,3.116,.330,.272,.095,1.025,.077,.388
20080224,438.300,146.190,6.510,13.941,6.860,4.641,2.230,2.801,2.390,1.335,1.270,1.561,1.130,1.335,.890,1.291,1.650,.243,.320,.359,.067,.244,.160,.767,.330,3.099,.330,.273,.098,1.020,.080,.386
20080225,438.300,145.538,6.470,13.879,6.790,4.631,2.170,2.792,2.320,1.335,1.210,1.561,1.120,1.335,.890,1.288,1.640,.243,.320,.359,.070,.244,.160,.760,.340,3.082,.330,.273,.100,1.015,.083,.384
20080226,438.300,144.898,6.440,13.817,6.710,4.621,2.110,2.783,2.260,1.335,1.150,1.561,1.110,1.335,.890,1.285,1.630,.243,.310,.359,.074,.244,.150,.753,.340,3.066,.330,.273,.110,1.010,.086,.383
20080227,438.300,144.272,6.400,13.758,6.640,4.611,2.050,2.774,2.200,1.335,1.080,1.561,1.100,1.335,.880,1.282,1.620,.243,.300,.359,.077,.244,.140,.747,.350,3.050,.340,.273,.110,1.006,.089,.381
20080228,438.300,143.658,6.370,13.699,6.560,4.601,2.000,2.765,2.140,1.335,1.020,1.561,1.080,1.335,.880,1.279,1.610,.243,.300,.359,.081,.244,.140,.741,.350,3.034,.340,.273,.110,1.002,.092,.380
20080229,438.300,143.055,6.330,13.642,6.490,4.592,1.940,2.757,2.070,1.335,.960,1.561,1.070,1.335,.920,1.276,1.600,.243,.290,.359,.090,.244,.130,.734,.360,3.018,.340,.273,.120,.998,.095,.378
20080301,438.300,142.461,6.650,13.587,6.690,4.583,2.000,2.749,2.010,1.335,.940,1.561,1.140,1.335,.970,1.273,1.590,.243,.310,.359,.099,.244,.150,.728,1.230,3.002,.340,.273,.120,.994,.099,.377
20080302,438.300,141.874,6.970,13.532,6.890,4.574,2.100,2.740,1.950,1.335,.930,1.561,1.200,1.335,1.010,1.271,1.580,.243,.330,.359,.110,.244,.180,.722,2.110,2.987,.350,.273,.120,.990,.100,.375
20080303,438.300,141.293,7.290,13.479,7.090,4.565,2.300,2.733,1.890,1.335,.910,1.561,1.270,1.335,1.060,1.268,1.570,.243,.350,.359,.120,.244,.200,.717,2.980,2.972,.350,.273,.130,.986,.110,.374
20080304,442.000,140.719,7.610,13.428,7.290,4.557,2.500,2.725,1.820,1.335,.900,1.560,1.340,1.335,1.100,1.266,1.550,.243,.370,.359,.130,.244,.220,.711,3.860,2.957,.350,.273,.130,.983,.110,.373
20080305,442.000,140.152,7.930,13.377,7.490,4.549,2.600,2.717,1.760,1.335,.880,1.560,1.400,1.335,1.150,1.263,1.540,.243,.390,.359,.130,.244,.240,.705,4.730,2.943,1.020,.273,.140,.979,.110,.371
20080306,442.000,139.593,8.250,13.328,7.690,4.541,2.800,2.710,2.010,1.335,.990,1.560,1.470,1.335,1.190,1.261,1.530,.243,.410,.359,.140,.244,.270,.700,5.610,2.932,1.690,.273,.140,.976,.120,.370
20080307,442.000,139.046,8.570,13.279,7.890,4.533,3.100,2.703,2.260,1.335,1.100,1.560,1.540,1.335,1.240,1.259,1.520,.243,.430,.359,.150,.244,.290,.694,6.480,2.926,2.360,.273,.140,1.003,.120,.394
20080308,445.600,138.582,8.890,13.232,8.090,4.526,3.400,2.696,2.510,1.335,1.210,1.560,1.600,1.335,1.280,1.257,1.510,.243,.450,.359,.160,.244,.310,.689,7.360,2.932,3.040,.273,.150,1.029,.120,.410
20080309,445.600,138.458,9.210,13.202,8.290,4.518,3.700,2.689,2.760,1.335,1.320,1.560,1.670,1.335,1.330,1.255,1.500,.243,.470,.359,.170,.244,.340,.684,8.230,2.978,3.710,.281,.150,1.074,.130,.435
20080310,445.600,138.572,9.530,13.197,8.490,4.511,4.100,2.724,3.010,1.335,1.430,1.560,1.730,1.335,1.370,1.445,1.480,.243,.490,.359,.170,.247,.360,.679,9.100,3.098,4.380,.305,.160,1.260,.130,.572
20080311,445.600,139.016,12.200,13.576,8.690,4.589,4.600,3.304,3.250,2.332,1.540,1.741,1.800,2.081,1.550,1.770,1.470,1.015,.540,.359,.160,.480,.380,.673,9.980,3.298,5.050,.338,.160,1.438,.150,.652
20080312,445.600,139.700,14.800,14.687,9.460,5.772,5.100,4.583,3.500,5.386,1.650,3.609,1.870,6.390,1.720,2.195,1.460,2.210,.590,.359,.420,.817,.400,.697,10.900,3.553,5.720,.379,.170,1.572,.160,.671
20080313,449.300,141.643,17.500,18.262,10.200,15.610,5.700,7.785,3.750,12.820,1.750,12.701,1.930,18.822,1.900,3.617,1.450,4.513,.640,.363,.670,1.719,.430,.912,11.700,4.123,5.600,.480,.190,1.984,.180,.925
20080314,453.100,143.966,20.200,26.414,11.000,36.460,6.100,11.819,4.000,20.178,1.860,24.635,2.000,28.261,2.070,5.098,1.520,6.189,.690,.450,.930,2.204,.450,1.052,12.600,4.808,5.470,.589,.200,2.276,.190,1.005
20080315,453.100,146.986,22.800,45.415,11.800,59.663,6.900,16.473,4.250,25.329,1.970,32.920,2.070,33.389,2.250,6.568,1.580,7.173,.740,.577,1.190,2.733,.470,1.192,13.500,5.504,5.350,.706,.210,2.435,.210,.991
20080316,456.800,151.334,25.500,77.005,12.500,71.841,7.500,21.272,4.730,24.846,2.080,32.877,2.130,29.584,2.420,7.772,1.650,6.407,.780,.624,1.450,3.209,.500,1.297,14.400,6.518,5.230,.869,.230,2.825,.220,1.207
20080317,460.600,158.124,28.100,113.229,13.300,81.612,8.200,26.552,5.210,28.948,2.190,35.571,2.200,33.832,2.630,9.337,1.710,8.094,.830,.714,1.700,3.885,.520,1.480,15.200,7.515,5.100,1.119,.240,3.527,.240,1.595
20080318,464.300,168.182,30.800,148.097,14.100,94.939,9.100,32.266,5.690,34.862,2.300,41.655,2.200,40.423,2.840,11.215,1.780,9.734,.880,.892,1.960,4.704,.540,1.702,16.100,8.551,4.980,1.452,.360,3.963,.290,1.671
20080319,475.800,183.765,35.800,179.106,14.800,107.218,10.400,37.235,6.170,38.888,2.410,45.720,2.200,42.824,3.060,12.545,1.840,10.554,.930,1.045,2.560,5.078,.560,1.838,17.100,9.925,4.860,1.740,.480,4.475,.340,1.856
20080320,483.600,207.014,40.700,207.256,15.600,117.872,11.500,41.778,6.660,42.118,2.520,49.019,2.300,45.558,3.270,13.968,1.910,11.298,.980,1.219,3.150,5.629,.590,2.001,18.100,11.055,4.730,2.061,.600,4.548,.380,1.756
20080321,491.400,241.476,45.700,237.055,15.800,132.765,13.000,47.545,7.140,48.669,3.170,55.721,2.500,52.824,3.480,16.175,2.010,13.269,.980,1.536,3.750,6.644,.610,2.293,19.000,11.849,4.610,2.269,.720,4.294,.430,1.549
20080322,507.300,289.792,50.600,274.192,15.900,155.375,14.600,55.330,7.620,59.178,3.820,65.980,2.500,62.946,3.850,19.182,2.120,16.233,.990,2.075,4.340,7.895,.720,2.716,20.000,12.407,3.670,2.463,.840,3.844,.480,1.312
20080323,523.600,352.959,55.600,318.033,16.100,178.645,16.500,63.046,8.100,67.720,4.470,74.299,2.800,69.330,4.230,21.790,2.220,18.146,.990,2.668,4.940,8.979,.820,3.140,21.000,12.811,2.830,2.643,.960,3.350,.530,1.104
20080324,540.200,434.042,60.600,365.162,16.200,193.858,19.500,71.050,8.580,63.048,5.120,79.226,2.900,72.229,4.600,23.081,2.330,15.578,.990,2.665,5.610,10.456,.930,3.656,20.200,13.930,3.250,2.784,1.080,3.022,.570,1.029
20080325,557.200,544.214,65.500,401.931,16.400,196.697,22.500,76.288,9.060,58.560,5.770,78.700,3.200,69.531,4.970,23.780,2.430,14.432,1.000,2.510,6.280,11.289,.870,4.032,19.700,15.718,4.370,3.234,1.200,2.983,.620,1.123
20080326,574.600,696.995,70.500,429.350,16.500,200.885,26.000,80.965,9.550,60.985,6.420,81.157,3.400,72.574,7.350,25.221,2.540,15.569,1.000,2.763,6.950,12.200,.930,4.483,22.900,18.665,8.640,3.943,1.320,3.298,.650,1.381
20080327,596.800,896.298,75.500,449.558,18.200,206.092,29.500,85.334,9.890,65.042,7.070,82.409,3.700,72.929,9.740,27.215,2.640,16.649,1.010,3.220,7.620,12.749,.980,4.811,32.700,21.846,13.900,4.959,1.440,4.092,.670,1.842
20080328,619.600,1120.352,80.400,470.058,19.900,214.477,33.000,90.706,9.420,69.968,7.720,84.796,4.900,75.167,12.100,29.742,2.750,17.863,1.010,3.806,8.290,13.504,2.000,5.257,42.200,25.379,12.800,6.203,1.560,5.494,.700,2.531
20080329,657.300,1330.784,85.400,492.957,21.600,224.977,38.500,96.198,9.630,75.049,8.370,88.193,4.950,78.282,14.500,32.465,2.850,19.058,1.010,4.465,8.960,14.264,2.380,5.749,49.900,29.011,11.400,7.544,1.680,7.420,.730,3.350
20080330,691.500,1503.149,90.300,513.287,23.300,234.134,45.000,99.722,9.840,79.074,9.020,90.565,4.980,79.934,14.000,34.159,2.960,19.871,1.020,5.179,9.630,14.168,2.500,6.173,55.900,30.819,12.300,7.719,1.800,8.527,.750,3.520
20080331,721.800,1636.195,95.300,538.911,25.000,248.353,51.400,104.561,11.900,85.119,9.670,96.935,5.600,86.659,13.500,36.951,3.060,21.328,1.020,6.177,9.310,14.971,3.170,6.811,61.400,33.200,16.200,9.062,1.920,8.865,.780,3.439
20080401,753.000,1742.802,123.000,564.247,26.700,264.937,61.200,107.818,12.000,93.308,11.600,103.443,6.000,92.459,12.900,38.599,3.400,23.303,1.110,7.540,9.470,14.495,3.310,7.374,64.400,33.769,15.300,8.766,2.160,8.633,.750,3.221
20080402,801.400,1836.643,124.000,586.283,28.400,277.671,59.900,108.482,11.200,99.002,9.840,105.768,6.700,93.154,12.400,39.681,3.740,24.274,1.190,8.824,9.150,13.970,4.450,7.882,65.900,32.782,16.200,8.196,2.400,8.185,.720,3.005
20080403,916.700,1929.025,128.000,616.768,30.600,292.883,50.800,112.577,13.700,104.433,10.500,110.575,7.500,97.868,14.000,42.057,4.080,25.324,1.280,10.011,9.790,15.190,6.270,8.691,62.900,33.353,15.700,9.520,2.640,8.977,.690,3.605
20080404,1329.400,2026.113,133.000,632.542,32.800,285.568,49.000,114.468,14.300,97.529,11.500,101.531,8.500,85.238,15.500,42.889,4.410,22.835,1.360,9.551,10.400,15.551,6.450,8.948,59.900,36.696,17.100,11.044,3.070,9.632,.700,3.843
20080405,1360.700,2123.777,142.000,632.610,35.500,282.830,47.200,113.615,15.100,99.067,11.600,100.170,10.000,86.788,17.100,42.955,4.750,23.511,1.450,10.515,9.630,14.740,5.890,9.186,57.900,37.513,18.100,10.524,3.510,9.596,.720,3.651
20080406,1042.700,2211.792,147.000,630.807,39.700,287.952,47.200,112.376,15.100,105.616,11.300,100.594,11.500,87.383,24.200,44.977,5.090,24.995,1.310,12.360,9.790,13.851,6.270,9.368,56.900,36.095,19.900,9.575,3.940,9.105,.730,3.349
20080407,852.000,2286.496,147.000,634.629,42.900,299.366,47.800,111.399,16.900,114.448,14.200,102.336,13.500,89.272,29.700,46.444,5.430,26.485,1.580,15.573,10.300,12.971,7.610,9.604,56.900,33.760,21.400,8.601,3.780,8.350,.740,3.000
20080408,701.500,2355.884,147.000,639.092,47.300,305.280,53.200,109.351,24.700,117.698,18.900,100.554,16.000,86.542,34.200,47.041,9.180,25.948,2.200,18.856,10.700,12.041,7.610,9.667,55.900,30.885,24.000,7.522,3.470,7.407,.750,2.590
20080409,638.200,2432.606,153.000,637.398,54.300,302.620,70.100,106.488,28.700,116.105,20.200,95.748,19.000,81.284,36.500,47.288,11.300,24.259,2.030,21.792,11.400,11.148,8.020,9.620,55.900,27.980,25.600,6.551,2.900,6.420,.770,2.191
20080410,619.600,2520.493,161.000,627.694,62.800,293.391,81.900,103.428,32.100,111.461,24.200,89.860,22.000,75.557,43.800,47.239,13.700,22.178,2.750,23.768,12.300,10.511,8.020,9.560,55.900,25.620,26.700,5.879,2.490,5.639,.780,1.934
20080411,619.600,2600.920,185.000,609.558,66.500,278.540,93.800,100.107,33.100,104.168,26.400,82.456,27.400,68.173,45.100,46.887,12.500,19.714,3.360,24.685,12.700,9.903,7.810,9.443,56.900,23.647,26.700,5.272,2.110,4.966,.780,1.704
20080412,633.500,2645.009,200.000,597.922,79.100,276.941,99.200,100.520,34.000,105.539,26.400,83.944,20.200,72.080,45.100,47.200,12.500,20.540,2.940,25.149,11.500,9.569,8.850,9.752,56.900,22.149,24.000,4.895,1.880,4.430,.780,1.530
20080413,643.000,2634.882,206.000,580.459,81.700,261.704,99.900,97.561,35.000,95.982,22.100,75.215,15.800,60.424,43.800,46.664,10.000,16.996,2.750,25.420,11.400,8.839,8.850,9.480,56.900,20.517,20.900,4.295,1.780,3.855,.780,1.294
20080414,647.700,2575.911,213.000,551.986,74.000,237.890,97.100,93.305,35.000,85.472,19.500,63.467,15.800,48.880,40.100,45.770,10.000,13.788,2.550,26.074,11.200,8.086,8.850,9.146,55.900,18.867,16.600,3.751,1.780,3.276,.780,1.055
20080415,647.700,2490.747,215.000,516.133,72.700,212.880,91.200,88.592,32.100,76.825,18.900,52.096,16.500,38.403,37.700,44.808,10.000,10.846,3.150,27.909,11.400,7.377,9.290,8.822,53.900,17.131,15.700,3.163,1.680,2.689,.780,.814
20080416,657.300,2400.986,210.000,477.982,76.500,189.756,83.900,83.715,34.000,68.276,22.100,42.442,19.400,29.992,37.700,43.632,13.100,8.389,4.300,28.308,10.900,6.700,9.510,8.496,50.900,15.296,15.300,2.542,1.680,2.078,.780,.555
20080417,666.900,2315.219,206.000,439.678,79.100,168.045,75.300,78.575,36.000,59.428,23.500,33.950,17.900,22.466,40.100,42.082,13.700,6.274,5.350,27.319,10.700,5.961,9.510,8.115,47.900,13.353,15.700,1.896,1.680,1.495,.780,.319
20080418,676.700,2232.409,202.000,401.762,80.400,147.270,70.100,73.159,37.100,50.820,22.800,26.142,18.600,15.442,45.100,40.334,13.700,4.281,5.350,26.058,10.600,5.189,9.070,7.699,44.500,11.345,15.700,1.252,1.580,1.094,.780,.203
20080419,666.900,2149.953,199.000,363.860,81.700,127.393,67.500,67.278,38.100,42.113,22.100,19.392,17.900,9.849,43.800,38.271,14.300,2.321,6.290,24.423,10.400,4.351,8.640,7.224,41.200,9.252,15.300,.586,1.580,.821,.780,.146
20080420,662.100,2064.694,202.000,325.900,81.700,108.886,67.500,60.749,39.200,34.023,21.500,14.206,19.400,6.244,42.500,35.808,15.600,.832,6.970,22.222,10.400,3.467,8.230,6.700,39.200,7.266,14.900,.268,1.580,.635,.780,.118
